"Labor Force Data by County, 2014 Annual Averages",,,,,,,,,
,,,,,,,,,
,State,County,,,,,,,Unemploy-
CN0112100000000,01,121,"Talladega County, AL",2014,,"35,390     ","32,638     ","2,752     ",7.8     
CN0112300000000,01,123,"Tallapoosa County, AL",2014,,"18,425     ","17,035     ","1,390     ",7.5     
CN0112500000000,01,125,"Tuscaloosa County, AL",2014,,"97,086     ","91,323     ","5,763     ",5.9     
CN0112700000000,01,127,"Walker County, AL",2014,,"25,748     ","23,714     ","2,034     ",7.9     
CN0112900000000,01,129,"Washington County, AL",2014,,"6,656     ","6,015     ",641     ,9.6     
CN0113100000000,01,131,"Wilcox County, AL",2014,,"2,866     ","2,379     ",487     ,17.0     
CN0113300000000,01,133,"Winston County, AL",2014,,"9,633     ","8,802     ",831     ,8.6     
CN0201300000000,02,013,"Aleutians East Borough, AK",2014,,"2,229     ","2,128     ",101     ,4.5     
CN0201600000000,02,016,"Aleutians West Census Area, AK",2014,,"4,482     ","4,267     ",215     ,4.8     
CN0202000000000,02,020,"Anchorage Borough/municipality, AK",2014,,"158,302     ","150,070     ","8,232     ",5.2     
CN0205000000000,02,050,"Bethel Census Area, AK",2014,,"7,315     ","6,140     ","1,175     ",16.1     
CN0206000000000,02,060,"Bristol Bay Borough, AK",2014,,498     ,458     ,40     ,8.0     
CN0206800000000,02,068,"Denali Borough, AK",2014,,"1,074     ",963     ,111     ,10.3     
CN0207000000000,02,070,"Dillingham Census Area, AK",2014,,"2,122     ","1,909     ",213     ,10.0     
CN0209000000000,02,090,"Fairbanks North Star Borough, AK",2014,,"46,859     ","44,157     ","2,702     ",5.8     
CN0210000000000,02,100,"Haines Borough, AK",2014,,"1,114     ",995     ,119     ,10.7     
CN0210500000000,02,105,"Hoonah-Angoon Census Area, AK",2014,,"1,142     ",969     ,173     ,15.1     
CN0211000000000,02,110,"Juneau Borough/city, AK",2014,,"17,484     ","16,602     ",882     ,5.0     
CN0212200000000,02,122,"Kenai Peninsula Borough, AK",2014,,"27,993     ","25,797     ","2,196     ",7.8     
CN0213000000000,02,130,"Ketchikan Gateway Borough, AK",2014,,"7,111     ","6,557     ",554     ,7.8     
CN0215000000000,02,150,"Kodiak Island Borough, AK",2014,,"6,591     ","6,217     ",374     ,5.7     
CN0215800000000,02,158,"Kusilvak Census Area, AK",2014,,"2,832     ","2,158     ",674     ,23.8     
CN0216400000000,02,164,"Lake and Peninsula Borough, AK",2014,,645     ,540     ,105     ,16.3     
CN0217000000000,02,170,"Matanuska-Susitna Borough, AK",2014,,"44,947     ","41,331     ","3,616     ",8.0     
CN0218000000000,02,180,"Nome Census Area, AK",2014,,"4,129     ","3,622     ",507     ,12.3     
CN0218500000000,02,185,"North Slope Borough, AK",2014,,"4,354     ","4,097     ",257     ,5.9     
CN0218800000000,02,188,"Northwest Arctic Borough, AK",2014,,"3,010     ","2,498     ",512     ,17.0     
CN0219500000000,02,195,"Petersburg Borough, AK",2014,,"1,586     ","1,435     ",151     ,9.5     
CN0219800000000,02,198,"Prince of Wales-Hyder Census Area, AK",2014,,"2,840     ","2,461     ",379     ,13.3     
CN0222000000000,02,220,"Sitka Borough/city, AK",2014,,"4,689     ","4,450     ",239     ,5.1     
CN0223000000000,02,230,"Skagway Municipality, AK",2014,,806     ,710     ,96     ,11.9     
CN0224000000000,02,240,"Southeast Fairbanks Census Area, AK",2014,,"2,924     ","2,538     ",386     ,13.2     
CN0226100000000,02,261,"Valdez-Cordova Census Area, AK",2014,,"4,890     ","4,419     ",471     ,9.6     
CN0227500000000,02,275,"Wrangell Borough/city, AK",2014,,"1,063     ",973     ,90     ,8.5     
CN0228200000000,02,282,"Yakutat Borough/city, AK",2014,,274     ,247     ,27     ,9.9     
CN0229000000000,02,290,"Yukon-Koyukuk Census Area, AK",2014,,"2,588     ","2,098     ",490     ,18.9     
CN0400100000000,04,001,"Apache County, AZ",2014,,"21,183     ","17,859     ","3,324     ",15.7     
CN0400300000000,04,003,"Cochise County, AZ",2014,,"50,857     ","46,611     ","4,246     ",8.3     
CN0400500000000,04,005,"Coconino County, AZ",2014,,"72,052     ","66,931     ","5,121     ",7.1     
CN0400700000000,04,007,"Gila County, AZ",2014,,"21,376     ","19,602     ","1,774     ",8.3     
CN0400900000000,04,009,"Graham County, AZ",2014,,"14,427     ","13,346     ","1,081     ",7.5     
CN0401100000000,04,011,"Greenlee County, AZ",2014,,"4,711     ","4,406     ",305     ,6.5     
CN0401200000000,04,012,"La Paz County, AZ",2014,,"7,946     ","7,339     ",607     ,7.6     
CN0401300000000,04,013,"Maricopa County, AZ",2014,,"1,959,391     ","1,845,391     ","114,000     ",5.8     
CN0401500000000,04,015,"Mohave County, AZ",2014,,"78,340     ","71,507     ","6,833     ",8.7     
CN0401700000000,04,017,"Navajo County, AZ",2014,,"41,625     ","37,011     ","4,614     ",11.1     
CN0401900000000,04,019,"Pima County, AZ",2014,,"462,438     ","434,486     ","27,952     ",6.0     
CN0402100000000,04,021,"Pinal County, AZ",2014,,"153,617     ","142,784     ","10,833     ",7.1     
CN0402300000000,04,023,"Santa Cruz County, AZ",2014,,"20,267     ","17,643     ","2,624     ",12.9     
CN0402500000000,04,025,"Yavapai County, AZ",2014,,"95,533     ","89,536     ","5,997     ",6.3     
CN0402700000000,04,027,"Yuma County, AZ",2014,,"93,347     ","71,959     ","21,388     ",22.9     
CN0500100000000,05,001,"Arkansas County, AR",2014,,"9,374     ","8,864     ",510     ,5.4     
CN0500300000000,05,003,"Ashley County, AR",2014,,"8,399     ","7,611     ",788     ,9.4     
CN0500500000000,05,005,"Baxter County, AR",2014,,"15,834     ","14,763     ","1,071     ",6.8     
CN0500700000000,05,007,"Benton County, AR",2014,,"114,304     ","108,970     ","5,334     ",4.7     
CN0500900000000,05,009,"Boone County, AR",2014,,"15,513     ","14,573     ",940     ,6.1     
CN0501100000000,05,011,"Bradley County, AR",2014,,"4,117     ","3,767     ",350     ,8.5     
CN0501300000000,05,013,"Calhoun County, AR",2014,,"2,344     ","2,188     ",156     ,6.7     
CN0501500000000,05,015,"Carroll County, AR",2014,,"12,423     ","11,771     ",652     ,5.2     
CN0501700000000,05,017,"Chicot County, AR",2014,,"3,817     ","3,412     ",405     ,10.6     
CN0501900000000,05,019,"Clark County, AR",2014,,"9,432     ","8,766     ",666     ,7.1     
CN0502100000000,05,021,"Clay County, AR",2014,,"6,355     ","5,851     ",504     ,7.9     
CN0502300000000,05,023,"Cleburne County, AR",2014,,"9,656     ","8,847     ",809     ,8.4     
CN0502500000000,05,025,"Cleveland County, AR",2014,,"3,423     ","3,187     ",236     ,6.9     
CN0502700000000,05,027,"Columbia County, AR",2014,,"9,450     ","8,765     ",685     ,7.2     
CN0502900000000,05,029,"Conway County, AR",2014,,"8,513     ","7,899     ",614     ,7.2     
CN0503100000000,05,031,"Craighead County, AR",2014,,"49,011     ","46,301     ","2,710     ",5.5     
CN0503300000000,05,033,"Crawford County, AR",2014,,"26,549     ","24,937     ","1,612     ",6.1     
CN0503500000000,05,035,"Crittenden County, AR",2014,,"21,236     ","19,646     ","1,590     ",7.5     
CN0503700000000,05,037,"Cross County, AR",2014,,"8,022     ","7,505     ",517     ,6.4     
CN0503900000000,05,039,"Dallas County, AR",2014,,"2,852     ","2,583     ",269     ,9.4     
CN0504100000000,05,041,"Desha County, AR",2014,,"5,501     ","5,051     ",450     ,8.2     
CN0504300000000,05,043,"Drew County, AR",2014,,"7,913     ","7,237     ",676     ,8.5     
CN0504500000000,05,045,"Faulkner County, AR",2014,,"58,483     ","55,186     ","3,297     ",5.6     
CN0504700000000,05,047,"Franklin County, AR",2014,,"7,219     ","6,804     ",415     ,5.7     
CN0504900000000,05,049,"Fulton County, AR",2014,,"4,756     ","4,477     ",279     ,5.9     
CN0505100000000,05,051,"Garland County, AR",2014,,"39,957     ","37,393     ","2,564     ",6.4     
CN0505300000000,05,053,"Grant County, AR",2014,,"8,144     ","7,693     ",451     ,5.5     
CN0505500000000,05,055,"Greene County, AR",2014,,"19,446     ","18,196     ","1,250     ",6.4     
CN0505700000000,05,057,"Hempstead County, AR",2014,,"9,833     ","9,237     ",596     ,6.1     
CN0505900000000,05,059,"Hot Spring County, AR",2014,,"13,846     ","13,033     ",813     ,5.9     
CN0506100000000,05,061,"Howard County, AR",2014,,"6,136     ","5,775     ",361     ,5.9     
CN0506300000000,05,063,"Independence County, AR",2014,,"15,340     ","14,129     ","1,211     ",7.9     
CN0506500000000,05,065,"Izard County, AR",2014,,"4,871     ","4,500     ",371     ,7.6     
CN0506700000000,05,067,"Jackson County, AR",2014,,"6,135     ","5,562     ",573     ,9.3     
CN0506900000000,05,069,"Jefferson County, AR",2014,,"29,236     ","26,647     ","2,589     ",8.9     
CN0507100000000,05,071,"Johnson County, AR",2014,,"10,200     ","9,523     ",677     ,6.6     
CN0507300000000,05,073,"Lafayette County, AR",2014,,"2,638     ","2,429     ",209     ,7.9     
CN0507500000000,05,075,"Lawrence County, AR",2014,,"7,019     ","6,504     ",515     ,7.3     
CN0507700000000,05,077,"Lee County, AR",2014,,"3,224     ","2,975     ",249     ,7.7     
CN0507900000000,05,079,"Lincoln County, AR",2014,,"4,175     ","3,875     ",300     ,7.2     
CN0508100000000,05,081,"Little River County, AR",2014,,"5,491     ","5,127     ",364     ,6.6     
CN0508300000000,05,083,"Logan County, AR",2014,,"8,993     ","8,448     ",545     ,6.1     
CN0508500000000,05,085,"Lonoke County, AR",2014,,"32,432     ","30,752     ","1,680     ",5.2     
CN0508700000000,05,087,"Madison County, AR",2014,,"6,901     ","6,563     ",338     ,4.9     
CN0508900000000,05,089,"Marion County, AR",2014,,"6,474     ","6,062     ",412     ,6.4     
CN0509100000000,05,091,"Miller County, AR",2014,,"19,189     ","18,057     ","1,132     ",5.9     
CN0509300000000,05,093,"Mississippi County, AR",2014,,"18,903     ","17,139     ","1,764     ",9.3     
CN0509500000000,05,095,"Monroe County, AR",2014,,"3,064     ","2,855     ",209     ,6.8     
CN0509700000000,05,097,"Montgomery County, AR",2014,,"3,318     ","3,050     ",268     ,8.1     
CN0509900000000,05,099,"Nevada County, AR",2014,,"3,648     ","3,424     ",224     ,6.1     
CN0510100000000,05,101,"Newton County, AR",2014,,"3,331     ","3,134     ",197     ,5.9     
CN0510300000000,05,103,"Ouachita County, AR",2014,,"9,862     ","9,064     ",798     ,8.1     
CN0510500000000,05,105,"Perry County, AR",2014,,"4,192     ","3,864     ",328     ,7.8     
CN0510700000000,05,107,"Phillips County, AR",2014,,"7,163     ","6,466     ",697     ,9.7     
CN0510900000000,05,109,"Pike County, AR",2014,,"4,167     ","3,857     ",310     ,7.4     
CN0511100000000,05,111,"Poinsett County, AR",2014,,"10,008     ","9,306     ",702     ,7.0     
CN0511300000000,05,113,"Polk County, AR",2014,,"8,378     ","7,845     ",533     ,6.4     
CN0511500000000,05,115,"Pope County, AR",2014,,"29,335     ","27,474     ","1,861     ",6.3     
CN0511700000000,05,117,"Prairie County, AR",2014,,"3,777     ","3,556     ",221     ,5.9     
CN0511900000000,05,119,"Pulaski County, AR",2014,,"182,788     ","172,579     ","10,209     ",5.6     
CN0512100000000,05,121,"Randolph County, AR",2014,,"6,491     ","5,971     ",520     ,8.0     
CN0512300000000,05,123,"St. Francis County, AR",2014,,"8,897     ","8,113     ",784     ,8.8     
CN0512500000000,05,125,"Saline County, AR",2014,,"54,083     ","51,429     ","2,654     ",4.9     
CN0512700000000,05,127,"Scott County, AR",2014,,"4,499     ","4,269     ",230     ,5.1     
CN0512900000000,05,129,"Searcy County, AR",2014,,"2,966     ","2,775     ",191     ,6.4     
CN0513100000000,05,131,"Sebastian County, AR",2014,,"56,638     ","53,377     ","3,261     ",5.8     
CN0513300000000,05,133,"Sevier County, AR",2014,,"5,739     ","5,332     ",407     ,7.1     
CN0513500000000,05,135,"Sharp County, AR",2014,,"5,915     ","5,408     ",507     ,8.6     
CN0513700000000,05,137,"Stone County, AR",2014,,"4,658     ","4,298     ",360     ,7.7     
CN0513900000000,05,139,"Union County, AR",2014,,"16,426     ","15,195     ","1,231     ",7.5     
CN0514100000000,05,141,"Van Buren County, AR",2014,,"6,396     ","5,872     ",524     ,8.2     
CN0514300000000,05,143,"Washington County, AR",2014,,"109,089     ","104,260     ","4,829     ",4.4     
CN0514500000000,05,145,"White County, AR",2014,,"34,157     ","31,718     ","2,439     ",7.1     
CN0514700000000,05,147,"Woodruff County, AR",2014,,"3,139     ","2,896     ",243     ,7.7     
CN0514900000000,05,149,"Yell County, AR",2014,,"8,949     ","8,438     ",511     ,5.7     
CN0600100000000,06,001,"Alameda County, CA",2014,,"812,827     ","765,645     ","47,182     ",5.8     
CN0600300000000,06,003,"Alpine County, CA",2014,,513     ,471     ,42     ,8.2     
CN0600500000000,06,005,"Amador County, CA",2014,,"14,432     ","13,236     ","1,196     ",8.3     
CN0600700000000,06,007,"Butte County, CA",2014,,"101,831     ","93,044     ","8,787     ",8.6     
CN0600900000000,06,009,"Calaveras County, CA",2014,,"20,363     ","18,736     ","1,627     ",8.0     
CN0601100000000,06,011,"Colusa County, CA",2014,,"11,149     ","9,213     ","1,936     ",17.4     
CN0601300000000,06,013,"Contra Costa County, CA",2014,,"542,777     ","509,363     ","33,414     ",6.2     
CN0601500000000,06,015,"Del Norte County, CA",2014,,"9,989     ","8,985     ","1,004     ",10.1     
CN0601700000000,06,017,"El Dorado County, CA",2014,,"88,421     ","82,266     ","6,155     ",7.0     
CN0601900000000,06,019,"Fresno County, CA",2014,,"440,789     ","389,842     ","50,947     ",11.6     
CN0602100000000,06,021,"Glenn County, CA",2014,,"12,876     ","11,507     ","1,369     ",10.6     
CN0602300000000,06,023,"Humboldt County, CA",2014,,"62,732     ","58,558     ","4,174     ",6.7     
CN0602500000000,06,025,"Imperial County, CA",2014,,"78,674     ","59,814     ","18,860     ",24.0     
CN0602700000000,06,027,"Inyo County, CA",2014,,"9,266     ","8,635     ",631     ,6.8     
CN0602900000000,06,029,"Kern County, CA",2014,,"394,795     ","353,781     ","41,014     ",10.4     
CN0603100000000,06,031,"Kings County, CA",2014,,"57,773     ","50,901     ","6,872     ",11.9     
CN0603300000000,06,033,"Lake County, CA",2014,,"29,453     ","26,824     ","2,629     ",8.9     
CN0603500000000,06,035,"Lassen County, CA",2014,,"10,881     ","9,892     ",989     ,9.1     
CN0603700000000,06,037,"Los Angeles County, CA",2014,,"5,025,850     ","4,611,509     ","414,341     ",8.2     
CN0603900000000,06,039,"Madera County, CA",2014,,"62,163     ","55,212     ","6,951     ",11.2     
CN0604100000000,06,041,"Marin County, CA",2014,,"139,613     ","133,669     ","5,944     ",4.3     
CN0604300000000,06,043,"Mariposa County, CA",2014,,"8,136     ","7,425     ",711     ,8.7     
CN0604500000000,06,045,"Mendocino County, CA",2014,,"40,620     ","37,783     ","2,837     ",7.0     
CN0604700000000,06,047,"Merced County, CA",2014,,"114,974     ","100,248     ","14,726     ",12.8     
CN0604900000000,06,049,"Modoc County, CA",2014,,"3,386     ","3,039     ",347     ,10.2     
CN0605100000000,06,051,"Mono County, CA",2014,,"8,289     ","7,706     ",583     ,7.0     
CN0605300000000,06,053,"Monterey County, CA",2014,,"218,985     ","199,216     ","19,769     ",9.0     
CN0605500000000,06,055,"Napa County, CA",2014,,"73,838     ","69,668     ","4,170     ",5.6     
CN0605700000000,06,057,"Nevada County, CA",2014,,"48,130     ","44,982     ","3,148     ",6.5     
CN0605900000000,06,059,"Orange County, CA",2014,,"1,578,158     ","1,491,776     ","86,382     ",5.5     
CN0606100000000,06,061,"Placer County, CA",2014,,"176,501     ","165,469     ","11,032     ",6.3     
CN0606300000000,06,063,"Plumas County, CA",2014,,"8,146     ","7,208     ",938     ,11.5     
CN0606500000000,06,065,"Riverside County, CA",2014,,"1,016,965     ","933,791     ","83,174     ",8.2     
CN0606700000000,06,067,"Sacramento County, CA",2014,,"683,031     ","633,261     ","49,770     ",7.3     
CN0606900000000,06,069,"San Benito County, CA",2014,,"29,341     ","26,609     ","2,732     ",9.3     
CN0607100000000,06,071,"San Bernardino County, CA",2014,,"910,660     ","837,932     ","72,728     ",8.0     
CN0607300000000,06,073,"San Diego County, CA",2014,,"1,549,796     ","1,450,330     ","99,466     ",6.4     
CN0607500000000,06,075,"San Francisco County/city, CA",2014,,"531,709     ","508,518     ","23,191     ",4.4     
CN0607700000000,06,077,"San Joaquin County, CA",2014,,"313,845     ","280,846     ","32,999     ",10.5     
CN0607900000000,06,079,"San Luis Obispo County, CA",2014,,"141,048     ","133,208     ","7,840     ",5.6     
CN0608100000000,06,081,"San Mateo County, CA",2014,,"429,417     ","411,359     ","18,058     ",4.2     
CN0608300000000,06,083,"Santa Barbara County, CA",2014,,"219,079     ","205,717     ","13,362     ",6.1     
CN0608500000000,06,085,"Santa Clara County, CA",2014,,"995,702     ","944,511     ","51,191     ",5.1     
CN0608700000000,06,087,"Santa Cruz County, CA",2014,,"143,142     ","130,634     ","12,508     ",8.7     
CN0608900000000,06,089,"Shasta County, CA",2014,,"75,304     ","68,076     ","7,228     ",9.6     
CN0609100000000,06,091,"Sierra County, CA",2014,,"1,421     ","1,278     ",143     ,10.1     
CN0609300000000,06,093,"Siskiyou County, CA",2014,,"18,108     ","16,104     ","2,004     ",11.1     
CN0609500000000,06,095,"Solano County, CA",2014,,"203,964     ","188,654     ","15,310     ",7.5     
CN0609700000000,06,097,"Sonoma County, CA",2014,,"257,590     ","243,217     ","14,373     ",5.6     
CN0609900000000,06,099,"Stanislaus County, CA",2014,,"241,972     ","214,995     ","26,977     ",11.1     
CN0610100000000,06,101,"Sutter County, CA",2014,,"44,543     ","38,921     ","5,622     ",12.6     
CN0610300000000,06,103,"Tehama County, CA",2014,,"25,229     ","22,808     ","2,421     ",9.6     
CN0610500000000,06,105,"Trinity County, CA",2014,,"5,200     ","4,710     ",490     ,9.4     
CN0610700000000,06,107,"Tulare County, CA",2014,,"199,302     ","173,175     ","26,127     ",13.1     
CN0610900000000,06,109,"Tuolumne County, CA",2014,,"21,702     ","19,828     ","1,874     ",8.6     
CN0611100000000,06,111,"Ventura County, CA",2014,,"432,628     ","403,915     ","28,713     ",6.6     
CN0611300000000,06,113,"Yolo County, CA",2014,,"102,842     ","95,107     ","7,735     ",7.5     
CN0611500000000,06,115,"Yuba County, CA",2014,,"28,056     ","24,918     ","3,138     ",11.2     
CN0800100000000,08,001,"Adams County, CO",2014,,"246,215     ","232,155     ","14,060     ",5.7     
CN0800300000000,08,003,"Alamosa County, CO",2014,,"7,548     ","7,006     ",542     ,7.2     
CN0800500000000,08,005,"Arapahoe County, CO",2014,,"332,801     ","316,557     ","16,244     ",4.9     
CN0800700000000,08,007,"Archuleta County, CO",2014,,"5,751     ","5,409     ",342     ,5.9     
CN0800900000000,08,009,"Baca County, CO",2014,,"1,934     ","1,881     ",53     ,2.7     
CN0801100000000,08,011,"Bent County, CO",2014,,"1,658     ","1,572     ",86     ,5.2     
CN0801300000000,08,013,"Boulder County, CO",2014,,"177,043     ","169,807     ","7,236     ",4.1     
CN0801400000000,08,014,"Broomfield County/city, CO",2014,,"34,343     ","32,893     ","1,450     ",4.2     
CN0801500000000,08,015,"Chaffee County, CO",2014,,"8,426     ","8,058     ",368     ,4.4     
CN0801700000000,08,017,"Cheyenne County, CO",2014,,976     ,948     ,28     ,2.9     
CN0801900000000,08,019,"Clear Creek County, CO",2014,,"5,543     ","5,287     ",256     ,4.6     
CN0802100000000,08,021,"Conejos County, CO",2014,,"3,626     ","3,344     ",282     ,7.8     
CN0802300000000,08,023,"Costilla County, CO",2014,,"1,617     ","1,470     ",147     ,9.1     
CN0802500000000,08,025,"Crowley County, CO",2014,,"1,321     ","1,244     ",77     ,5.8     
CN0802700000000,08,027,"Custer County, CO",2014,,"1,989     ","1,897     ",92     ,4.6     
CN0802900000000,08,029,"Delta County, CO",2014,,"13,655     ","12,702     ",953     ,7.0     
CN0803100000000,08,031,"Denver County/city, CO",2014,,"370,579     ","352,792     ","17,787     ",4.8     
CN0803300000000,08,033,"Dolores County, CO",2014,,"1,335     ","1,283     ",52     ,3.9     
CN0803500000000,08,035,"Douglas County, CO",2014,,"170,037     ","163,220     ","6,817     ",4.0     
CN0803700000000,08,037,"Eagle County, CO",2014,,"32,550     ","31,193     ","1,357     ",4.2     
CN0803900000000,08,039,"Elbert County, CO",2014,,"13,022     ","12,467     ",555     ,4.3     
CN0804100000000,08,041,"El Paso County, CO",2014,,"308,141     ","289,683     ","18,458     ",6.0     
CN0804300000000,08,043,"Fremont County, CO",2014,,"14,602     ","13,404     ","1,198     ",8.2     
CN0804500000000,08,045,"Garfield County, CO",2014,,"31,314     ","29,676     ","1,638     ",5.2     
CN0804700000000,08,047,"Gilpin County, CO",2014,,"3,467     ","3,315     ",152     ,4.4     
CN0804900000000,08,049,"Grand County, CO",2014,,"8,974     ","8,613     ",361     ,4.0     
CN0805100000000,08,051,"Gunnison County, CO",2014,,"9,722     ","9,329     ",393     ,4.0     
CN0805300000000,08,053,"Hinsdale County, CO",2014,,436     ,420     ,16     ,3.7     
CN0805500000000,08,055,"Huerfano County, CO",2014,,"2,423     ","2,181     ",242     ,10.0     
CN0805700000000,08,057,"Jackson County, CO",2014,,839     ,809     ,30     ,3.6     
CN0805900000000,08,059,"Jefferson County, CO",2014,,"309,122     ","295,067     ","14,055     ",4.5     
CN0806100000000,08,061,"Kiowa County, CO",2014,,756     ,730     ,26     ,3.4     
CN0806300000000,08,063,"Kit Carson County, CO",2014,,"4,333     ","4,201     ",132     ,3.0     
CN0806500000000,08,065,"Lake County, CO",2014,,"4,528     ","4,318     ",210     ,4.6     
CN0806700000000,08,067,"La Plata County, CO",2014,,"30,064     ","28,797     ","1,267     ",4.2     
