LAUS Code,State FIPS Code,County FIPS Code,County Name/State Abbreviation,Year,,Labor Force,Employed,Unemployed,Unemployment Rate
CN1711900000000,17,119,"Madison County, IL",2014,,"132,593","123,324","9,269",7
CN1712100000000,17,121,"Marion County, IL",2014,,"18,088","16,719","1,369",7.6
CN1712300000000,17,123,"Marshall County, IL",2014,,"5,767","5,372",395,6.8
CN1712500000000,17,125,"Mason County, IL",2014,,"6,655","6,086",569,8.5
CN1712700000000,17,127,"Massac County, IL",2014,,"6,336","5,831",505,8
CN1712900000000,17,129,"Menard County, IL",2014,,"6,765","6,387",378,5.6
CN1713100000000,17,131,"Mercer County, IL",2014,,"8,304","7,726",578,7
CN1713300000000,17,133,"Monroe County, IL",2014,,"17,925","16,968",957,5.3
CN1713500000000,17,135,"Montgomery County, IL",2014,,"12,166","11,110","1,056",8.7
CN1713700000000,17,137,"Morgan County, IL",2014,,"17,264","16,237","1,027",5.9
CN1713900000000,17,139,"Moultrie County, IL",2014,,"7,064","6,684",380,5.4
CN1714100000000,17,141,"Ogle County, IL",2014,,"25,999","24,085","1,914",7.4
CN1714300000000,17,143,"Peoria County, IL",2014,,"91,845","84,847","6,998",7.6
CN1714500000000,17,145,"Perry County, IL",2014,,"8,906","8,157",749,8.4
CN1714700000000,17,147,"Piatt County, IL",2014,,"8,345","7,874",471,5.6
CN1714900000000,17,149,"Pike County, IL",2014,,"7,769","7,325",444,5.7
CN1715100000000,17,151,"Pope County, IL",2014,,"1,799","1,654",145,8.1
CN1715300000000,17,153,"Pulaski County, IL",2014,,"2,141","1,921",220,10.3
CN1715500000000,17,155,"Putnam County, IL",2014,,"3,044","2,810",234,7.7
CN1715700000000,17,157,"Randolph County, IL",2014,,"14,199","13,263",936,6.6
CN1715900000000,17,159,"Richland County, IL",2014,,"7,251","6,786",465,6.4
CN1716100000000,17,161,"Rock Island County, IL",2014,,"72,777","67,665","5,112",7
CN1716300000000,17,163,"St. Clair County, IL",2014,,"126,783","116,853","9,930",7.8
CN1716500000000,17,165,"Saline County, IL",2014,,"10,838","9,962",876,8.1
CN1716700000000,17,167,"Sangamon County, IL",2014,,"104,656","98,523","6,133",5.9
CN1716900000000,17,169,"Schuyler County, IL",2014,,"3,465","3,235",230,6.6
CN1717100000000,17,171,"Scott County, IL",2014,,"2,561","2,391",170,6.6
CN1717300000000,17,173,"Shelby County, IL",2014,,"10,175","9,489",686,6.7
CN1717500000000,17,175,"Stark County, IL",2014,,"2,811","2,602",209,7.4
CN1717700000000,17,177,"Stephenson County, IL",2014,,"22,296","20,665","1,631",7.3
CN1717900000000,17,179,"Tazewell County, IL",2014,,"68,011","63,468","4,543",6.7
CN1718100000000,17,181,"Union County, IL",2014,,"7,309","6,671",638,8.7
CN1718300000000,17,183,"Vermilion County, IL",2014,,"35,631","32,639","2,992",8.4
CN1718500000000,17,185,"Wabash County, IL",2014,,"5,581","5,249",332,5.9
CN1718700000000,17,187,"Warren County, IL",2014,,"8,758","8,249",509,5.8
CN1718900000000,17,189,"Washington County, IL",2014,,"9,047","8,619",428,4.7
CN1719100000000,17,191,"Wayne County, IL",2014,,"7,688","7,185",503,6.5
CN1719300000000,17,193,"White County, IL",2014,,"7,092","6,677",415,5.9
CN1719500000000,17,195,"Whiteside County, IL",2014,,"28,652","26,678","1,974",6.9
CN1719700000000,17,197,"Will County, IL",2014,,"356,643","329,474","27,169",7.6
CN1719900000000,17,199,"Williamson County, IL",2014,,"31,471","29,240","2,231",7.1
CN1720100000000,17,201,"Winnebago County, IL",2014,,"142,375","130,678","11,697",8.2
CN1720300000000,17,203,"Woodford County, IL",2014,,"19,758","18,673","1,085",5.5
CN1800100000000,18,1,"Adams County, IN",2014,,"16,421","15,670",751,4.6
CN1800300000000,18,3,"Allen County, IN",2014,,"175,720","165,680","10,040",5.7
CN1800500000000,18,5,"Bartholomew County, IN",2014,,"42,620","40,757","1,863",4.4
CN1800700000000,18,7,"Benton County, IN",2014,,"4,476","4,233",243,5.4
CN1800900000000,18,9,"Blackford County, IN",2014,,"5,265","4,876",389,7.4
CN1801100000000,18,11,"Boone County, IN",2014,,"32,198","30,788","1,410",4.4
CN1801300000000,18,13,"Brown County, IN",2014,,"7,360","6,921",439,6
CN1801500000000,18,15,"Carroll County, IN",2014,,"9,886","9,369",517,5.2
CN1801700000000,18,17,"Cass County, IN",2014,,"17,737","16,718","1,019",5.7
CN1801900000000,18,19,"Clark County, IN",2014,,"57,633","54,526","3,107",5.4
CN1802100000000,18,21,"Clay County, IN",2014,,"12,439","11,601",838,6.7
CN1802300000000,18,23,"Clinton County, IN",2014,,"16,661","15,809",852,5.1
CN1802500000000,18,25,"Crawford County, IN",2014,,"4,893","4,520",373,7.6
CN1802700000000,18,27,"Daviess County, IN",2014,,"15,181","14,504",677,4.5
CN1802900000000,18,29,"Dearborn County, IN",2014,,"25,121","23,474","1,647",6.6
CN1803100000000,18,31,"Decatur County, IN",2014,,"14,186","13,491",695,4.9
CN1803300000000,18,33,"DeKalb County, IN",2014,,"21,265","20,160","1,105",5.2
CN1803500000000,18,35,"Delaware County, IN",2014,,"53,605","49,859","3,746",7
CN1803700000000,18,37,"Dubois County, IN",2014,,"22,047","21,152",895,4.1
CN1803900000000,18,39,"Elkhart County, IN",2014,,"102,211","97,020","5,191",5.1
CN1804100000000,18,41,"Fayette County, IN",2014,,"9,091","8,384",707,7.8
CN1804300000000,18,43,"Floyd County, IN",2014,,"39,090","37,105","1,985",5.1
CN1804500000000,18,45,"Fountain County, IN",2014,,"8,200","7,629",571,7
CN1804700000000,18,47,"Franklin County, IN",2014,,"10,884","10,177",707,6.5
CN1804900000000,18,49,"Fulton County, IN",2014,,"9,794","9,182",612,6.2
CN1805100000000,18,51,"Gibson County, IN",2014,,"18,437","17,612",825,4.5
CN1805300000000,18,53,"Grant County, IN",2014,,"32,664","30,430","2,234",6.8
CN1805500000000,18,55,"Greene County, IN",2014,,"13,856","12,758","1,098",7.9
CN1805700000000,18,57,"Hamilton County, IN",2014,,"161,162","154,624","6,538",4.1
CN1805900000000,18,59,"Hancock County, IN",2014,,"36,622","34,730","1,892",5.2
CN1806100000000,18,61,"Harrison County, IN",2014,,"19,046","17,984","1,062",5.6
CN1806300000000,18,63,"Hendricks County, IN",2014,,"80,715","77,012","3,703",4.6
CN1806500000000,18,65,"Henry County, IN",2014,,"21,469","20,010","1,459",6.8
CN1806700000000,18,67,"Howard County, IN",2014,,"36,946","34,632","2,314",6.3
CN1806900000000,18,69,"Huntington County, IN",2014,,"18,555","17,483","1,072",5.8
CN1807100000000,18,71,"Jackson County, IN",2014,,"21,325","20,263","1,062",5
CN1807300000000,18,73,"Jasper County, IN",2014,,"16,142","15,068","1,074",6.7
CN1807500000000,18,75,"Jay County, IN",2014,,"10,104","9,519",585,5.8
CN1807700000000,18,77,"Jefferson County, IN",2014,,"15,064","14,153",911,6
CN1807900000000,18,79,"Jennings County, IN",2014,,"13,092","12,218",874,6.7
CN1808100000000,18,81,"Johnson County, IN",2014,,"75,542","71,792","3,750",5
CN1808300000000,18,83,"Knox County, IN",2014,,"18,847","17,866",981,5.2
CN1808500000000,18,85,"Kosciusko County, IN",2014,,"40,334","38,367","1,967",4.9
CN1808700000000,18,87,"LaGrange County, IN",2014,,"18,229","17,416",813,4.5
CN1808900000000,18,89,"Lake County, IN",2014,,"230,596","212,424","18,172",7.9
CN1809100000000,18,91,"LaPorte County, IN",2014,,"48,891","45,165","3,726",7.6
CN1809300000000,18,93,"Lawrence County, IN",2014,,"20,385","18,743","1,642",8.1
CN1809500000000,18,95,"Madison County, IN",2014,,"57,954","53,832","4,122",7.1
CN1809700000000,18,97,"Marion County, IN",2014,,"467,493","437,229","30,264",6.5
CN1809900000000,18,99,"Marshall County, IN",2014,,"23,730","22,432","1,298",5.5
CN1810100000000,18,101,"Martin County, IN",2014,,"4,958","4,693",265,5.3
CN1810300000000,18,103,"Miami County, IN",2014,,"15,680","14,642","1,038",6.6
CN1810500000000,18,105,"Monroe County, IN",2014,,"67,519","63,664","3,855",5.7
CN1810700000000,18,107,"Montgomery County, IN",2014,,"18,702","17,691","1,011",5.4
CN1810900000000,18,109,"Morgan County, IN",2014,,"35,002","32,975","2,027",5.8
CN1811100000000,18,111,"Newton County, IN",2014,,"6,948","6,465",483,7
CN1811300000000,18,113,"Noble County, IN",2014,,"23,143","21,943","1,200",5.2
CN1811500000000,18,115,"Ohio County, IN",2014,,"3,219","2,998",221,6.9
CN1811700000000,18,117,"Orange County, IN",2014,,"8,543","7,884",659,7.7
CN1811900000000,18,119,"Owen County, IN",2014,,"9,484","8,718",766,8.1
CN1812100000000,18,121,"Parke County, IN",2014,,"6,952","6,468",484,7
CN1812300000000,18,123,"Perry County, IN",2014,,"9,179","8,644",535,5.8
CN1812500000000,18,125,"Pike County, IN",2014,,"6,349","6,028",321,5.1
CN1812700000000,18,127,"Porter County, IN",2014,,"84,042","78,843","5,199",6.2
CN1812900000000,18,129,"Posey County, IN",2014,,"13,159","12,531",628,4.8
CN1813100000000,18,131,"Pulaski County, IN",2014,,"6,196","5,863",333,5.4
CN1813300000000,18,133,"Putnam County, IN",2014,,"16,272","15,196","1,076",6.6
CN1813500000000,18,135,"Randolph County, IN",2014,,"12,497","11,685",812,6.5
CN1813700000000,18,137,"Ripley County, IN",2014,,"13,645","12,745",900,6.6
CN1813900000000,18,139,"Rush County, IN",2014,,"8,531","8,054",477,5.6
CN1814100000000,18,141,"St. Joseph County, IN",2014,,"128,864","120,384","8,480",6.6
CN1814300000000,18,143,"Scott County, IN",2014,,"10,189","9,500",689,6.8
CN1814500000000,18,145,"Shelby County, IN",2014,,"22,442","21,169","1,273",5.7
CN1814700000000,18,147,"Spencer County, IN",2014,,"10,750","10,199",551,5.1
CN1814900000000,18,149,"Starke County, IN",2014,,"10,236","9,495",741,7.2
CN1815100000000,18,151,"Steuben County, IN",2014,,"19,822","18,860",962,4.9
CN1815300000000,18,153,"Sullivan County, IN",2014,,"8,652","8,034",618,7.1
CN1815500000000,18,155,"Switzerland County, IN",2014,,"4,805","4,522",283,5.9
CN1815700000000,18,157,"Tippecanoe County, IN",2014,,"91,350","86,767","4,583",5
CN1815900000000,18,159,"Tipton County, IN",2014,,"8,170","7,745",425,5.2
CN1816100000000,18,161,"Union County, IN",2014,,"3,546","3,346",200,5.6
CN1816300000000,18,163,"Vanderburgh County, IN",2014,,"92,122","87,165","4,957",5.4
CN1816500000000,18,165,"Vermillion County, IN",2014,,"7,229","6,609",620,8.6
CN1816700000000,18,167,"Vigo County, IN",2014,,"49,499","45,739","3,760",7.6
CN1816900000000,18,169,"Wabash County, IN",2014,,"15,476","14,617",859,5.6
CN1817100000000,18,171,"Warren County, IN",2014,,"4,097","3,848",249,6.1
CN1817300000000,18,173,"Warrick County, IN",2014,,"31,199","29,670","1,529",4.9
CN1817500000000,18,175,"Washington County, IN",2014,,"13,321","12,438",883,6.6
CN1817700000000,18,177,"Wayne County, IN",2014,,"30,934","28,919","2,015",6.5
CN1817900000000,18,179,"Wells County, IN",2014,,"13,763","13,104",659,4.8
CN1818100000000,18,181,"White County, IN",2014,,"13,460","12,777",683,5.1
CN1818300000000,18,183,"Whitley County, IN",2014,,"16,848","15,980",868,5.2
CN1900100000000,19,1,"Adair County, IA",2014,,"4,150","3,985",165,4
CN1900300000000,19,3,"Adams County, IA",2014,,"2,211","2,138",73,3.3
CN1900500000000,19,5,"Allamakee County, IA",2014,,"7,702","7,270",432,5.6
CN1900700000000,19,7,"Appanoose County, IA",2014,,"6,147","5,799",348,5.7
CN1900900000000,19,9,"Audubon County, IA",2014,,"3,258","3,119",139,4.3
CN1901100000000,19,11,"Benton County, IA",2014,,"13,857","13,224",633,4.6
CN1901300000000,19,13,"Black Hawk County, IA",2014,,"72,123","68,621","3,502",4.9
CN1901500000000,19,15,"Boone County, IA",2014,,"15,188","14,677",511,3.4
CN1901700000000,19,17,"Bremer County, IA",2014,,"14,172","13,657",515,3.6
CN1901900000000,19,19,"Buchanan County, IA",2014,,"11,461","10,933",528,4.6
CN1902100000000,19,21,"Buena Vista County, IA",2014,,"11,477","11,027",450,3.9
CN1902300000000,19,23,"Butler County, IA",2014,,"8,376","8,025",351,4.2
CN1902500000000,19,25,"Calhoun County, IA",2014,,"4,418","4,207",211,4.8
CN1902700000000,19,27,"Carroll County, IA",2014,,"11,222","10,871",351,3.1
CN1902900000000,19,29,"Cass County, IA",2014,,"7,380","7,064",316,4.3
CN1903100000000,19,31,"Cedar County, IA",2014,,"10,921","10,504",417,3.8
CN1903300000000,19,33,"Cerro Gordo County, IA",2014,,"23,223","22,155","1,068",4.6
CN1903500000000,19,35,"Cherokee County, IA",2014,,"6,628","6,294",334,5
CN1903700000000,19,37,"Chickasaw County, IA",2014,,"6,476","6,172",304,4.7
CN1903900000000,19,39,"Clarke County, IA",2014,,"4,676","4,469",207,4.4
CN1904100000000,19,41,"Clay County, IA",2014,,"8,938","8,569",369,4.1
CN1904300000000,19,43,"Clayton County, IA",2014,,"10,184","9,681",503,4.9
CN1904500000000,19,45,"Clinton County, IA",2014,,"24,756","23,468","1,288",5.2
CN1904700000000,19,47,"Crawford County, IA",2014,,"8,729","8,377",352,4
CN1904900000000,19,49,"Dallas County, IA",2014,,"42,701","41,312","1,389",3.3
CN1905100000000,19,51,"Davis County, IA",2014,,"4,107","3,899",208,5.1
CN1905300000000,19,53,"Decatur County, IA",2014,,"4,438","4,272",166,3.7
CN1905500000000,19,55,"Delaware County, IA",2014,,"10,522","10,129",393,3.7
CN1905700000000,19,57,"Des Moines County, IA",2014,,"20,826","19,796","1,030",4.9
CN1905900000000,19,59,"Dickinson County, IA",2014,,"9,707","9,257",450,4.6
CN1906100000000,19,61,"Dubuque County, IA",2014,,"55,549","53,278","2,271",4.1
CN1906300000000,19,63,"Emmet County, IA",2014,,"5,731","5,507",224,3.9
CN1906500000000,19,65,"Fayette County, IA",2014,,"10,788","10,253",535,5
CN1906700000000,19,67,"Floyd County, IA",2014,,"8,406","8,030",376,4.5
CN1906900000000,19,69,"Franklin County, IA",2014,,"5,975","5,741",234,3.9
CN1907100000000,19,71,"Fremont County, IA",2014,,"4,167","4,008",159,3.8
CN1907300000000,19,73,"Greene County, IA",2014,,"5,271","5,061",210,4
CN1907500000000,19,75,"Grundy County, IA",2014,,"6,721","6,444",277,4.1
CN1907700000000,19,77,"Guthrie County, IA",2014,,"5,609","5,366",243,4.3
CN1907900000000,19,79,"Hamilton County, IA",2014,,"7,095","6,777",318,4.5
CN1908100000000,19,81,"Hancock County, IA",2014,,"6,296","6,090",206,3.3
CN1908300000000,19,83,"Hardin County, IA",2014,,"8,705","8,333",372,4.3
CN1908500000000,19,85,"Harrison County, IA",2014,,"7,535","7,236",299,4
CN1908700000000,19,87,"Henry County, IA",2014,,"9,542","9,126",416,4.4
CN1908900000000,19,89,"Howard County, IA",2014,,"5,314","5,101",213,4
CN1909100000000,19,91,"Humboldt County, IA",2014,,"5,259","5,062",197,3.7
CN1909300000000,19,93,"Ida County, IA",2014,,"3,889","3,751",138,3.5
CN1909500000000,19,95,"Iowa County, IA",2014,,"10,203","9,781",422,4.1
CN1909700000000,19,97,"Jackson County, IA",2014,,"11,014","10,462",552,5
CN1909900000000,19,99,"Jasper County, IA",2014,,"19,321","18,475",846,4.4
CN1910100000000,19,101,"Jefferson County, IA",2014,,"9,076","8,685",391,4.3
CN1910300000000,19,103,"Johnson County, IA",2014,,"84,008","81,448","2,560",3
CN1910500000000,19,105,"Jones County, IA",2014,,"10,790","10,263",527,4.9
CN1910700000000,19,107,"Keokuk County, IA",2014,,"5,515","5,273",242,4.4
CN1910900000000,19,109,"Kossuth County, IA",2014,,"8,660","8,385",275,3.2
CN1911100000000,19,111,"Lee County, IA",2014,,"17,728","16,691","1,037",5.8
CN1911300000000,19,113,"Linn County, IA",2014,,"120,961","115,707","5,254",4.3
CN1911500000000,19,115,"Louisa County, IA",2014,,"5,931","5,667",264,4.5
CN1911700000000,19,117,"Lucas County, IA",2014,,"4,309","4,143",166,3.9
CN1911900000000,19,119,"Lyon County, IA",2014,,"7,012","6,835",177,2.5
CN1912100000000,19,121,"Madison County, IA",2014,,"8,228","7,859",369,4.5
CN1912300000000,19,123,"Mahaska County, IA",2014,,"11,855","11,340",515,4.3
CN1912500000000,19,125,"Marion County, IA",2014,,"17,431","16,774",657,3.8
CN1912700000000,19,127,"Marshall County, IA",2014,,"19,827","18,767","1,060",5.3
CN1912900000000,19,129,"Mills County, IA",2014,,"7,395","7,075",320,4.3
CN1913100000000,19,131,"Mitchell County, IA",2014,,"5,459","5,267",192,3.5
CN1913300000000,19,133,"Monona County, IA",2014,,"4,754","4,520",234,4.9
CN1913500000000,19,135,"Monroe County, IA",2014,,"4,073","3,870",203,5
CN1913700000000,19,137,"Montgomery County, IA",2014,,"5,160","4,950",210,4.1
CN1913900000000,19,139,"Muscatine County, IA",2014,,"22,108","21,116",992,4.5
CN1914100000000,19,141,"O'Brien County, IA",2014,,"8,235","7,969",266,3.2
CN1914300000000,19,143,"Osceola County, IA",2014,,"3,459","3,345",114,3.3
CN1914500000000,19,145,"Page County, IA",2014,,"6,596","6,306",290,4.4
CN1914700000000,19,147,"Palo Alto County, IA",2014,,"4,851","4,678",173,3.6
CN1914900000000,19,149,"Plymouth County, IA",2014,,"14,661","14,163",498,3.4
CN1915100000000,19,151,"Pocahontas County, IA",2014,,"4,326","4,177",149,3.4
CN1915300000000,19,153,"Polk County, IA",2014,,"255,571","244,873","10,698",4.2
CN1915500000000,19,155,"Pottawattamie County, IA",2014,,"49,173","47,086","2,087",4.2
CN1915700000000,19,157,"Poweshiek County, IA",2014,,"10,401","9,963",438,4.2
CN1915900000000,19,159,"Ringgold County, IA",2014,,"2,530","2,433",97,3.8
CN1916100000000,19,161,"Sac County, IA",2014,,"5,555","5,339",216,3.9
CN1916300000000,19,163,"Scott County, IA",2014,,"88,446","83,885","4,561",5.2
CN1916500000000,19,165,"Shelby County, IA",2014,,"7,052","6,833",219,3.1
CN1916700000000,19,167,"Sioux County, IA",2014,,"20,128","19,543",585,2.9
CN1916900000000,19,169,"Story County, IA",2014,,"56,615","54,998","1,617",2.9
CN1917100000000,19,171,"Tama County, IA",2014,,"9,235","8,752",483,5.2
CN1917300000000,19,173,"Taylor County, IA",2014,,"3,241","3,124",117,3.6
CN1917500000000,19,175,"Union County, IA",2014,,"6,813","6,495",318,4.7
CN1917700000000,19,177,"Van Buren County, IA",2014,,"3,913","3,738",175,4.5
CN1917900000000,19,179,"Wapello County, IA",2014,,"18,132","17,147",985,5.4
CN1918100000000,19,181,"Warren County, IA",2014,,"26,763","25,714","1,049",3.9
CN1918300000000,19,183,"Washington County, IA",2014,,"12,320","11,881",439,3.6
CN1918500000000,19,185,"Wayne County, IA",2014,,"2,871","2,728",143,5
CN1918700000000,19,187,"Webster County, IA",2014,,"19,819","18,870",949,4.8
CN1918900000000,19,189,"Winnebago County, IA",2014,,"5,223","5,005",218,4.2
CN1919100000000,19,191,"Winneshiek County, IA",2014,,"12,056","11,549",507,4.2
CN1919300000000,19,193,"Woodbury County, IA",2014,,"55,935","53,508","2,427",4.3
CN1919500000000,19,195,"Worth County, IA",2014,,"4,203","4,014",189,4.5
CN1919700000000,19,197,"Wright County, IA",2014,,"6,948","6,667",281,4
CN2000100000000,20,1,"Allen County, KS",2014,,"6,818","6,469",349,5.1
CN2000300000000,20,3,"Anderson County, KS",2014,,"4,194","3,976",218,5.2
CN2000500000000,20,5,"Atchison County, KS",2014,,"7,645","7,145",500,6.5
CN2000700000000,20,7,"Barber County, KS",2014,,"2,720","2,636",84,3.1
CN2000900000000,20,9,"Barton County, KS",2014,,"15,480","14,926",554,3.6
CN2001100000000,20,11,"Bourbon County, KS",2014,,"7,105","6,729",376,5.3
CN2001300000000,20,13,"Brown County, KS",2014,,"5,416","5,193",223,4.1
CN2001500000000,20,15,"Butler County, KS",2014,,"31,998","30,428","1,570",4.9
CN2001700000000,20,17,"Chase County, KS",2014,,"1,235","1,184",51,4.1
CN2001900000000,20,19,"Chautauqua County, KS",2014,,"1,579","1,493",86,5.4
CN2002100000000,20,21,"Cherokee County, KS",2014,,"10,366","9,841",525,5.1
CN2002300000000,20,23,"Cheyenne County, KS",2014,,"1,316","1,275",41,3.1
CN2002500000000,20,25,"Clark County, KS",2014,,"1,145","1,115",30,2.6
CN2002700000000,20,27,"Clay County, KS",2014,,"4,176","3,990",186,4.5
CN2002900000000,20,29,"Cloud County, KS",2014,,"4,396","4,210",186,4.2
CN2003100000000,20,31,"Coffey County, KS",2014,,"4,902","4,621",281,5.7
CN2003300000000,20,33,"Comanche County, KS",2014,,980,950,30,3.1
CN2003500000000,20,35,"Cowley County, KS",2014,,"17,288","16,482",806,4.7
CN2003700000000,20,37,"Crawford County, KS",2014,,"19,165","18,133","1,032",5.4
CN2003900000000,20,39,"Decatur County, KS",2014,,"1,355","1,307",48,3.5
CN2004100000000,20,41,"Dickinson County, KS",2014,,"9,736","9,240",496,5.1
CN2004300000000,20,43,"Doniphan County, KS",2014,,"4,301","4,106",195,4.5
CN2004500000000,20,45,"Douglas County, KS",2014,,"64,740","62,080","2,660",4.1
CN2004700000000,20,47,"Edwards County, KS",2014,,"1,607","1,554",53,3.3
CN2004900000000,20,49,"Elk County, KS",2014,,"1,311","1,243",68,5.2
CN2005100000000,20,51,"Ellis County, KS",2014,,"17,933","17,436",497,2.8
CN2005300000000,20,53,"Ellsworth County, KS",2014,,"3,449","3,347",102,3
CN2005500000000,20,55,"Finney County, KS",2014,,"20,228","19,530",698,3.5
CN2005700000000,20,57,"Ford County, KS",2014,,"18,203","17,507",696,3.8
CN2005900000000,20,59,"Franklin County, KS",2014,,"14,073","13,349",724,5.1
CN2006100000000,20,61,"Geary County, KS",2014,,"12,350","11,447",903,7.3
CN2006300000000,20,63,"Gove County, KS",2014,,"1,485","1,446",39,2.6
CN2006500000000,20,65,"Graham County, KS",2014,,"1,314","1,271",43,3.3
CN2006700000000,20,67,"Grant County, KS",2014,,"3,942","3,807",135,3.4
CN2006900000000,20,69,"Gray County, KS",2014,,"3,500","3,405",95,2.7
CN2007100000000,20,71,"Greeley County, KS",2014,,898,879,19,2.1
CN2007300000000,20,73,"Greenwood County, KS",2014,,"3,332","3,181",151,4.5
CN2007500000000,20,75,"Hamilton County, KS",2014,,"1,664","1,625",39,2.3
CN2007700000000,20,77,"Harper County, KS",2014,,"2,984","2,873",111,3.7
CN2007900000000,20,79,"Harvey County, KS",2014,,"17,137","16,404",733,4.3
CN2008100000000,20,81,"Haskell County, KS",2014,,"2,359","2,298",61,2.6
CN2008300000000,20,83,"Hodgeman County, KS",2014,,"1,035","1,000",35,3.4
CN2008500000000,20,85,"Jackson County, KS",2014,,"7,399","7,091",308,4.2
CN2008700000000,20,87,"Jefferson County, KS",2014,,"10,232","9,735",497,4.9
CN2008900000000,20,89,"Jewell County, KS",2014,,"1,382","1,328",54,3.9
CN2009100000000,20,91,"Johnson County, KS",2014,,"321,263","309,052","12,211",3.8
CN2009300000000,20,93,"Kearny County, KS",2014,,"2,121","2,055",66,3.1
CN2009500000000,20,95,"Kingman County, KS",2014,,"3,609","3,464",145,4
CN2009700000000,20,97,"Kiowa County, KS",2014,,"1,352","1,307",45,3.3
CN2009900000000,20,99,"Labette County, KS",2014,,"10,794","10,158",636,5.9
CN2010100000000,20,101,"Lane County, KS",2014,,864,836,28,3.2
CN2010300000000,20,103,"Leavenworth County, KS",2014,,"35,050","33,291","1,759",5
CN2010500000000,20,105,"Lincoln County, KS",2014,,"1,775","1,701",74,4.2
CN2010700000000,20,107,"Linn County, KS",2014,,"4,327","4,003",324,7.5
CN2010900000000,20,109,"Logan County, KS",2014,,"1,737","1,697",40,2.3
CN2011100000000,20,111,"Lyon County, KS",2014,,"16,540","15,688",852,5.2
CN2011300000000,20,113,"McPherson County, KS",2014,,"16,850","16,300",550,3.3
CN2011500000000,20,115,"Marion County, KS",2014,,"6,149","5,897",252,4.1
CN2011700000000,20,117,"Marshall County, KS",2014,,"5,886","5,694",192,3.3
CN2011900000000,20,119,"Meade County, KS",2014,,"2,383","2,319",64,2.7
CN2012100000000,20,121,"Miami County, KS",2014,,"16,879","16,079",800,4.7
CN2012300000000,20,123,"Mitchell County, KS",2014,,"3,840","3,714",126,3.3
CN2012500000000,20,125,"Montgomery County, KS",2014,,"17,365","16,360","1,005",5.8
CN2012700000000,20,127,"Morris County, KS",2014,,"3,101","2,963",138,4.5
CN2012900000000,20,129,"Morton County, KS",2014,,"1,490","1,431",59,4
CN2013100000000,20,131,"Nemaha County, KS",2014,,"5,856","5,688",168,2.9
CN2013300000000,20,133,"Neosho County, KS",2014,,"6,402","5,919",483,7.5
CN2013500000000,20,135,"Ness County, KS",2014,,"1,615","1,571",44,2.7
CN2013700000000,20,137,"Norton County, KS",2014,,"3,043","2,970",73,2.4
CN2013900000000,20,139,"Osage County, KS",2014,,"8,151","7,705",446,5.5
CN2014100000000,20,141,"Osborne County, KS",2014,,"2,060","1,983",77,3.7
CN2014300000000,20,143,"Ottawa County, KS",2014,,"3,246","3,112",134,4.1
CN2014500000000,20,145,"Pawnee County, KS",2014,,"3,394","3,265",129,3.8
CN2014700000000,20,147,"Phillips County, KS",2014,,"2,912","2,809",103,3.5
CN2014900000000,20,149,"Pottawatomie County, KS",2014,,"12,047","11,574",473,3.9
CN2015100000000,20,151,"Pratt County, KS",2014,,"5,508","5,328",180,3.3
CN2015300000000,20,153,"Rawlins County, KS",2014,,"1,518","1,480",38,2.5
CN2015500000000,20,155,"Reno County, KS",2014,,"31,234","29,850","1,384",4.4
CN2015700000000,20,157,"Republic County, KS",2014,,"2,571","2,492",79,3.1
CN2015900000000,20,159,"Rice County, KS",2014,,"5,455","5,262",193,3.5
CN2016100000000,20,161,"Riley County, KS",2014,,"36,629","35,268","1,361",3.7
CN2016300000000,20,163,"Rooks County, KS",2014,,"2,854","2,750",104,3.6
CN2016500000000,20,165,"Rush County, KS",2014,,"1,811","1,746",65,3.6
CN2016700000000,20,167,"Russell County, KS",2014,,"3,842","3,706",136,3.5
CN2016900000000,20,169,"Saline County, KS",2014,,"30,730","29,427","1,303",4.2
CN2017100000000,20,171,"Scott County, KS",2014,,"2,856","2,777",79,2.8
CN2017300000000,20,173,"Sedgwick County, KS",2014,,"247,363","233,996","13,367",5.4
CN2017500000000,20,175,"Seward County, KS",2014,,"11,171","10,778",393,3.5
CN2017700000000,20,177,"Shawnee County, KS",2014,,"92,003","87,585","4,418",4.8
CN2017900000000,20,179,"Sheridan County, KS",2014,,"1,461","1,422",39,2.7
CN2018100000000,20,181,"Sherman County, KS",2014,,"3,094","2,995",99,3.2
CN2018300000000,20,183,"Smith County, KS",2014,,"2,120","2,053",67,3.2
CN2018500000000,20,185,"Stafford County, KS",2014,,"2,166","2,084",82,3.8
CN2018700000000,20,187,"Stanton County, KS",2014,,"1,027",993,34,3.3
CN2018900000000,20,189,"Stevens County, KS",2014,,"3,370","3,268",102,3
CN2019100000000,20,191,"Sumner County, KS",2014,,"11,083","10,551",532,4.8
CN2019300000000,20,193,"Thomas County, KS",2014,,"4,385","4,257",128,2.9
CN2019500000000,20,195,"Trego County, KS",2014,,"1,490","1,444",46,3.1
CN2019700000000,20,197,"Wabaunsee County, KS",2014,,"3,765","3,609",156,4.1
CN2019900000000,20,199,"Wallace County, KS",2014,,877,854,23,2.6
CN2020100000000,20,201,"Washington County, KS",2014,,"3,108","3,008",100,3.2
CN2020300000000,20,203,"Wichita County, KS",2014,,"1,236","1,201",35,2.8
CN2020500000000,20,205,"Wilson County, KS",2014,,"4,173","3,886",287,6.9
CN2020700000000,20,207,"Woodson County, KS",2014,,"1,629","1,543",86,5.3
